time,step,loss,examples/sec,sec/batch
2016-11-29 02:51:24.845925,10,4.62,701.5,0.182
2016-11-29 02:51:26.689729,20,4.48,687.1,0.186
2016-11-29 02:51:28.523935,30,4.47,721.4,0.177
2016-11-29 02:51:30.354487,40,4.31,695.0,0.184
2016-11-29 02:51:32.183999,50,4.26,676.8,0.189
2016-11-29 02:51:34.003170,60,4.20,694.8,0.184
2016-11-29 02:51:35.835989,70,4.19,709.8,0.180
2016-11-29 02:51:37.653526,80,4.39,702.2,0.182
2016-11-29 02:51:39.479430,90,4.06,692.6,0.185
2016-11-29 02:51:41.300777,100,4.39,728.3,0.176
2016-11-29 02:51:43.307148,110,4.07,696.0,0.184
2016-11-29 02:51:45.133191,120,4.04,695.4,0.184
2016-11-29 02:51:46.939228,130,3.97,697.6,0.183
2016-11-29 02:51:48.761705,140,4.03,700.7,0.183
2016-11-29 02:51:50.580318,150,3.86,832.9,0.154
2016-11-29 02:51:52.424021,160,3.90,648.7,0.197
2016-11-29 02:51:54.225457,170,3.84,707.5,0.181
2016-11-29 02:51:56.032043,180,3.81,776.4,0.165
2016-11-29 02:51:57.872699,190,3.97,694.4,0.184
2016-11-29 02:51:59.696655,200,3.79,722.3,0.177
2016-11-29 02:52:01.728922,210,4.07,690.6,0.185
2016-11-29 02:52:03.541790,220,3.73,707.3,0.181
2016-11-29 02:52:05.365327,230,3.94,707.5,0.181
2016-11-29 02:52:07.206207,240,3.84,696.6,0.184
2016-11-29 02:52:09.008857,250,3.90,700.8,0.183
2016-11-29 02:52:10.832811,260,3.69,686.1,0.187
2016-11-29 02:52:12.656927,270,3.74,712.0,0.180
2016-11-29 02:52:14.468609,280,3.63,688.9,0.186
2016-11-29 02:52:16.272490,290,3.70,708.0,0.181
2016-11-29 02:52:18.090851,300,3.60,708.1,0.181
2016-11-29 02:52:20.099521,310,3.67,709.7,0.180
2016-11-29 02:52:21.883820,320,3.40,715.6,0.179
2016-11-29 02:52:23.689185,330,3.50,699.9,0.183
2016-11-29 02:52:25.498267,340,3.36,806.5,0.159
2016-11-29 02:52:27.335375,350,3.36,696.9,0.184
2016-11-29 02:52:29.156228,360,3.56,798.6,0.160
2016-11-29 02:52:30.980808,370,3.48,714.6,0.179
2016-11-29 02:52:32.801511,380,3.57,704.6,0.182
2016-11-29 02:52:34.613482,390,3.31,701.1,0.183
2016-11-29 02:52:36.432250,400,3.40,706.7,0.181
2016-11-29 02:52:38.474209,410,3.37,639.8,0.200
2016-11-29 02:52:40.294947,420,3.28,689.8,0.186
2016-11-29 02:52:42.130330,430,3.50,695.2,0.184
2016-11-29 02:52:43.970989,440,3.36,803.3,0.159
2016-11-29 02:52:45.784755,450,3.36,706.8,0.181
2016-11-29 02:52:47.603892,460,3.16,709.2,0.180
2016-11-29 02:52:49.420038,470,3.34,713.0,0.180
2016-11-29 02:52:51.257729,480,3.16,700.6,0.183
2016-11-29 02:52:53.061123,490,3.05,728.5,0.176
2016-11-29 02:52:54.885214,500,3.09,703.1,0.182
2016-11-29 02:52:56.880326,510,3.23,707.7,0.181
2016-11-29 02:52:58.699979,520,3.22,692.9,0.185
2016-11-29 02:53:00.535982,530,3.14,753.3,0.170
2016-11-29 02:53:02.374876,540,3.10,689.3,0.186
2016-11-29 02:53:04.191561,550,3.15,716.6,0.179
2016-11-29 02:53:06.021289,560,3.02,744.9,0.172
2016-11-29 02:53:07.859747,570,3.04,701.0,0.183
2016-11-29 02:53:09.690959,580,3.06,689.4,0.186
2016-11-29 02:53:11.515027,590,3.09,707.8,0.181
2016-11-29 02:53:13.331815,600,3.03,700.5,0.183
2016-11-29 02:53:15.340738,610,2.97,676.6,0.189
2016-11-29 02:53:17.169828,620,2.89,706.3,0.181
2016-11-29 02:53:19.013536,630,2.87,627.5,0.204
2016-11-29 02:53:20.824125,640,3.12,713.5,0.179
2016-11-29 02:53:22.652476,650,3.38,710.6,0.180
2016-11-29 02:53:24.486633,660,2.73,722.2,0.177
2016-11-29 02:53:26.321771,670,2.85,697.3,0.184
2016-11-29 02:53:28.145871,680,2.78,689.4,0.186
2016-11-29 02:53:29.969815,690,3.11,699.6,0.183
2016-11-29 02:53:31.813917,700,3.01,616.4,0.208
2016-11-29 02:53:33.805189,710,2.83,716.5,0.179
2016-11-29 02:53:35.617670,720,2.83,703.3,0.182
2016-11-29 02:53:37.442141,730,2.95,692.1,0.185
2016-11-29 02:53:39.275641,740,2.79,676.5,0.189
2016-11-29 02:53:41.092794,750,2.76,700.9,0.183
2016-11-29 02:53:42.901625,760,2.67,728.5,0.176
2016-11-29 02:53:44.708673,770,2.57,809.7,0.158
2016-11-29 02:53:46.520847,780,2.66,698.9,0.183
2016-11-29 02:53:48.352807,790,2.68,696.9,0.184
2016-11-29 02:53:50.167383,800,2.81,723.4,0.177
2016-11-29 02:53:52.158897,810,2.69,718.3,0.178
2016-11-29 02:53:53.979041,820,2.69,690.4,0.185
2016-11-29 02:53:55.795518,830,3.26,697.2,0.184
2016-11-29 02:53:57.615844,840,2.68,685.5,0.187
2016-11-29 02:53:59.430429,850,2.52,706.2,0.181
2016-11-29 02:54:01.270016,860,2.90,692.7,0.185
2016-11-29 02:54:03.146153,870,2.56,637.1,0.201
2016-11-29 02:54:04.955779,880,2.54,685.7,0.187
2016-11-29 02:54:06.780121,890,2.66,684.1,0.187
2016-11-29 02:54:08.612284,900,2.48,718.0,0.178
2016-11-29 02:54:10.620168,910,2.38,685.3,0.187
2016-11-29 02:54:12.445718,920,2.43,719.9,0.178
2016-11-29 02:54:14.263485,930,2.51,695.7,0.184
2016-11-29 02:54:16.079469,940,2.51,693.2,0.185
2016-11-29 02:54:17.932607,950,2.62,608.4,0.210
2016-11-29 02:54:19.738315,960,2.59,699.7,0.183
2016-11-29 02:54:21.566534,970,2.49,753.1,0.170
2016-11-29 02:54:23.367503,980,2.61,715.6,0.179
2016-11-29 02:54:25.181729,990,2.34,698.1,0.183
2016-11-29 02:54:27.019381,1000,2.37,692.9,0.185
2016-11-29 02:54:29.580469,1010,2.41,693.6,0.185
2016-11-29 02:54:31.423057,1020,2.50,690.5,0.185
2016-11-29 02:54:33.240192,1030,2.40,698.8,0.183
2016-11-29 02:54:35.075247,1040,2.41,694.0,0.184
2016-11-29 02:54:36.886954,1050,2.52,695.9,0.184
2016-11-29 02:54:38.708329,1060,2.49,694.2,0.184
2016-11-29 02:54:40.523492,1070,2.26,702.9,0.182
2016-11-29 02:54:42.340652,1080,2.47,718.1,0.178
2016-11-29 02:54:44.179005,1090,2.53,677.2,0.189
2016-11-29 02:54:45.998707,1100,2.27,680.9,0.188
2016-11-29 02:54:47.987716,1110,2.32,709.3,0.180
2016-11-29 02:54:49.803076,1120,2.30,700.1,0.183
2016-11-29 02:54:51.646495,1130,2.66,639.3,0.200
2016-11-29 02:54:53.453251,1140,2.20,695.6,0.184
2016-11-29 02:54:55.267217,1150,2.14,718.2,0.178
2016-11-29 02:54:57.098228,1160,2.53,713.5,0.179
2016-11-29 02:54:58.906817,1170,2.25,691.6,0.185
2016-11-29 02:55:00.743044,1180,2.28,700.7,0.183
2016-11-29 02:55:02.609014,1190,2.26,708.2,0.181
2016-11-29 02:55:04.449778,1200,2.42,712.5,0.180
2016-11-29 02:55:06.458627,1210,2.01,684.2,0.187
2016-11-29 02:55:08.301270,1220,2.17,690.3,0.185
2016-11-29 02:55:10.120531,1230,2.20,698.2,0.183
2016-11-29 02:55:11.937176,1240,2.15,700.8,0.183
2016-11-29 02:55:13.748418,1250,2.60,694.6,0.184
2016-11-29 02:55:15.572234,1260,2.30,695.7,0.184
2016-11-29 02:55:17.396325,1270,2.22,675.1,0.190
2016-11-29 02:55:19.234178,1280,2.16,718.7,0.178
2016-11-29 02:55:21.056162,1290,2.08,704.1,0.182
2016-11-29 02:55:22.879417,1300,2.13,777.7,0.165
2016-11-29 02:55:24.906920,1310,1.94,607.3,0.211
2016-11-29 02:55:26.680604,1320,2.13,703.0,0.182
2016-11-29 02:55:28.499411,1330,2.13,712.4,0.180
2016-11-29 02:55:30.332040,1340,2.16,649.0,0.197
2016-11-29 02:55:32.144629,1350,2.02,688.9,0.186
2016-11-29 02:55:33.974265,1360,2.13,703.3,0.182
2016-11-29 02:55:35.798186,1370,2.00,702.5,0.182
2016-11-29 02:55:37.624482,1380,1.91,697.8,0.183
2016-11-29 02:55:39.466442,1390,2.14,702.6,0.182
2016-11-29 02:55:41.310325,1400,2.01,735.3,0.174
2016-11-29 02:55:43.334222,1410,1.99,718.6,0.178
2016-11-29 02:55:45.155872,1420,2.06,720.0,0.178
2016-11-29 02:55:46.974808,1430,2.09,684.1,0.187
2016-11-29 02:55:48.784191,1440,2.06,703.1,0.182
2016-11-29 02:55:50.612631,1450,1.94,632.4,0.202
2016-11-29 02:55:52.407756,1460,1.99,713.7,0.179
2016-11-29 02:55:54.225025,1470,2.06,705.3,0.181
2016-11-29 02:55:56.026723,1480,2.11,792.9,0.161
2016-11-29 02:55:57.858223,1490,2.04,710.7,0.180
2016-11-29 02:55:59.683445,1500,2.00,701.2,0.183
2016-11-29 02:56:01.726409,1510,2.13,681.8,0.188
2016-11-29 02:56:03.570108,1520,2.03,686.5,0.186
2016-11-29 02:56:05.388230,1530,1.84,704.2,0.182
2016-11-29 02:56:07.210657,1540,1.96,698.4,0.183
2016-11-29 02:56:09.030911,1550,1.90,716.9,0.179
2016-11-29 02:56:10.867150,1560,1.97,701.6,0.182
2016-11-29 02:56:12.699601,1570,1.83,704.3,0.182
2016-11-29 02:56:14.515407,1580,1.86,695.0,0.184
2016-11-29 02:56:16.326600,1590,1.97,709.6,0.180
2016-11-29 02:56:18.146410,1600,1.80,679.4,0.188
2016-11-29 02:56:20.151992,1610,1.71,698.9,0.183
2016-11-29 02:56:21.974416,1620,1.67,792.4,0.162
2016-11-29 02:56:23.799907,1630,1.80,704.2,0.182
2016-11-29 02:56:25.612072,1640,1.87,724.9,0.177
2016-11-29 02:56:27.438863,1650,1.71,706.5,0.181
2016-11-29 02:56:29.260815,1660,1.87,699.3,0.183
2016-11-29 02:56:31.075013,1670,1.99,698.4,0.183
2016-11-29 02:56:32.899788,1680,1.96,697.9,0.183
2016-11-29 02:56:34.738728,1690,1.72,748.8,0.171
2016-11-29 02:56:36.545195,1700,1.80,691.0,0.185
2016-11-29 02:56:38.557083,1710,1.98,708.9,0.181
2016-11-29 02:56:40.365289,1720,1.60,698.7,0.183
2016-11-29 02:56:42.187696,1730,1.60,689.9,0.186
2016-11-29 02:56:44.007237,1740,1.78,705.2,0.182
2016-11-29 02:56:45.829851,1750,1.64,664.0,0.193
2016-11-29 02:56:47.648591,1760,1.83,797.2,0.161
2016-11-29 02:56:49.536566,1770,1.67,685.4,0.187
2016-11-29 02:56:51.399965,1780,1.85,689.5,0.186
2016-11-29 02:56:53.214514,1790,1.93,701.1,0.183
2016-11-29 02:56:55.023868,1800,1.73,685.0,0.187
