ubuntu@ip-172-31-38-101:~/ecse420-project/cifar10$ time python cifar10_multi_gpu_train.py --num_gpus=1
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so.7.5 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so.7.5 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so.7.5 locally
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties:
name: Tesla K80
major: 3 minor: 7 memoryClockRate (GHz) 0.8235
pciBusID 0000:00:1e.0
Total memory: 11.25GiB
Free memory: 11.13GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:00:1e.0)
2016-11-28 18:20:01.585815: step 0, loss = 4.67 (1.8 examples/sec; 70.150 sec/batch)
2016-11-28 18:20:03.480175: step 10, loss = 4.64 (821.9 examples/sec; 0.156 sec/batch)
2016-11-28 18:20:04.981457: step 20, loss = 4.41 (863.4 examples/sec; 0.148 sec/batch)
2016-11-28 18:20:06.523929: step 30, loss = 4.34 (857.4 examples/sec; 0.149 sec/batch)
2016-11-28 18:20:08.077421: step 40, loss = 4.63 (842.7 examples/sec; 0.152 sec/batch)
2016-11-28 18:20:09.653306: step 50, loss = 4.25 (816.4 examples/sec; 0.157 sec/batch)
2016-11-28 18:20:11.237509: step 60, loss = 4.24 (785.0 examples/sec; 0.163 sec/batch)
2016-11-28 18:20:12.816201: step 70, loss = 4.16 (797.4 examples/sec; 0.161 sec/batch)
2016-11-28 18:20:14.404978: step 80, loss = 4.17 (788.8 examples/sec; 0.162 sec/batch)
2016-11-28 18:20:16.023453: step 90, loss = 4.15 (826.4 examples/sec; 0.155 sec/batch)
2016-11-28 18:20:17.644319: step 100, loss = 4.11 (767.7 examples/sec; 0.167 sec/batch)
2016-11-28 18:20:19.452995: step 110, loss = 4.06 (841.8 examples/sec; 0.152 sec/batch)
2016-11-28 18:20:21.036347: step 120, loss = 4.29 (804.3 examples/sec; 0.159 sec/batch)
2016-11-28 18:20:22.617239: step 130, loss = 4.08 (791.1 examples/sec; 0.162 sec/batch)
2016-11-28 18:20:24.201144: step 140, loss = 3.98 (818.7 examples/sec; 0.156 sec/batch)
2016-11-28 18:20:25.782207: step 150, loss = 4.02 (794.9 examples/sec; 0.161 sec/batch)
2016-11-28 18:20:27.356558: step 160, loss = 3.81 (857.7 examples/sec; 0.149 sec/batch)
2016-11-28 18:20:28.944432: step 170, loss = 3.88 (778.9 examples/sec; 0.164 sec/batch)
2016-11-28 18:20:30.529587: step 180, loss = 4.06 (812.4 examples/sec; 0.158 sec/batch)
2016-11-28 18:20:32.118991: step 190, loss = 3.87 (808.3 examples/sec; 0.158 sec/batch)
2016-11-28 18:20:33.721581: step 200, loss = 3.82 (790.9 examples/sec; 0.162 sec/batch)
2016-11-28 18:20:35.495177: step 210, loss = 3.72 (824.4 examples/sec; 0.155 sec/batch)
2016-11-28 18:20:37.047799: step 220, loss = 3.70 (826.3 examples/sec; 0.155 sec/batch)
2016-11-28 18:20:38.605716: step 230, loss = 3.83 (799.8 examples/sec; 0.160 sec/batch)
2016-11-28 18:20:40.158977: step 240, loss = 3.66 (823.8 examples/sec; 0.155 sec/batch)
2016-11-28 18:20:41.730562: step 250, loss = 3.63 (779.0 examples/sec; 0.164 sec/batch)
2016-11-28 18:20:43.282831: step 260, loss = 3.66 (824.6 examples/sec; 0.155 sec/batch)
2016-11-28 18:20:44.844798: step 270, loss = 3.78 (815.3 examples/sec; 0.157 sec/batch)
2016-11-28 18:20:46.405657: step 280, loss = 3.59 (839.8 examples/sec; 0.152 sec/batch)
2016-11-28 18:20:47.979639: step 290, loss = 3.56 (798.7 examples/sec; 0.160 sec/batch)
2016-11-28 18:20:49.537861: step 300, loss = 3.49 (810.2 examples/sec; 0.158 sec/batch)
2016-11-28 18:20:51.294310: step 310, loss = 3.62 (826.8 examples/sec; 0.155 sec/batch)
2016-11-28 18:20:52.854896: step 320, loss = 3.49 (847.5 examples/sec; 0.151 sec/batch)
2016-11-28 18:20:54.429490: step 330, loss = 3.57 (811.8 examples/sec; 0.158 sec/batch)
2016-11-28 18:20:55.988104: step 340, loss = 3.52 (803.6 examples/sec; 0.159 sec/batch)
2016-11-28 18:20:57.551367: step 350, loss = 3.60 (796.1 examples/sec; 0.161 sec/batch)
2016-11-28 18:20:59.106802: step 360, loss = 3.50 (849.3 examples/sec; 0.151 sec/batch)
2016-11-28 18:21:00.663396: step 370, loss = 3.48 (836.7 examples/sec; 0.153 sec/batch)
2016-11-28 18:21:02.241416: step 380, loss = 3.41 (823.5 examples/sec; 0.155 sec/batch)
2016-11-28 18:21:03.831289: step 390, loss = 3.38 (823.5 examples/sec; 0.155 sec/batch)
2016-11-28 18:21:05.421339: step 400, loss = 3.47 (832.8 examples/sec; 0.154 sec/batch)
2016-11-28 18:21:07.223910: step 410, loss = 3.26 (792.0 examples/sec; 0.162 sec/batch)
2016-11-28 18:21:08.822700: step 420, loss = 3.43 (807.7 examples/sec; 0.158 sec/batch)
2016-11-28 18:21:10.459185: step 430, loss = 3.55 (755.2 examples/sec; 0.169 sec/batch)
2016-11-28 18:21:12.081876: step 440, loss = 3.37 (817.1 examples/sec; 0.157 sec/batch)
2016-11-28 18:21:13.708344: step 450, loss = 3.27 (772.6 examples/sec; 0.166 sec/batch)
2016-11-28 18:21:15.335741: step 460, loss = 3.35 (790.4 examples/sec; 0.162 sec/batch)
2016-11-28 18:21:16.959618: step 470, loss = 3.12 (773.4 examples/sec; 0.166 sec/batch)
2016-11-28 18:21:18.589375: step 480, loss = 3.46 (815.2 examples/sec; 0.157 sec/batch)
2016-11-28 18:21:20.208528: step 490, loss = 3.45 (778.9 examples/sec; 0.164 sec/batch)
2016-11-28 18:21:21.830041: step 500, loss = 3.52 (815.3 examples/sec; 0.157 sec/batch)
2016-11-28 18:21:23.607094: step 510, loss = 3.11 (836.5 examples/sec; 0.153 sec/batch)
2016-11-28 18:21:25.180163: step 520, loss = 3.18 (837.5 examples/sec; 0.153 sec/batch)
2016-11-28 18:21:26.743742: step 530, loss = 3.11 (795.0 examples/sec; 0.161 sec/batch)
2016-11-28 18:21:28.306385: step 540, loss = 2.94 (830.3 examples/sec; 0.154 sec/batch)
2016-11-28 18:21:29.880895: step 550, loss = 3.08 (796.3 examples/sec; 0.161 sec/batch)
2016-11-28 18:21:31.452419: step 560, loss = 3.01 (823.9 examples/sec; 0.155 sec/batch)
2016-11-28 18:21:33.015589: step 570, loss = 3.15 (799.8 examples/sec; 0.160 sec/batch)
2016-11-28 18:21:34.583346: step 580, loss = 3.03 (815.0 examples/sec; 0.157 sec/batch)
2016-11-28 18:21:36.139539: step 590, loss = 3.06 (831.8 examples/sec; 0.154 sec/batch)
2016-11-28 18:21:37.692737: step 600, loss = 3.01 (826.8 examples/sec; 0.155 sec/batch)
2016-11-28 18:21:39.452150: step 610, loss = 2.94 (823.7 examples/sec; 0.155 sec/batch)
2016-11-28 18:21:41.008751: step 620, loss = 3.01 (818.4 examples/sec; 0.156 sec/batch)
2016-11-28 18:21:42.573496: step 630, loss = 2.85 (829.5 examples/sec; 0.154 sec/batch)
2016-11-28 18:21:44.129423: step 640, loss = 3.10 (797.7 examples/sec; 0.160 sec/batch)
2016-11-28 18:21:45.675920: step 650, loss = 2.90 (792.5 examples/sec; 0.162 sec/batch)
2016-11-28 18:21:47.225915: step 660, loss = 2.78 (806.0 examples/sec; 0.159 sec/batch)
2016-11-28 18:21:48.783037: step 670, loss = 2.88 (828.4 examples/sec; 0.155 sec/batch)
2016-11-28 18:21:50.345380: step 680, loss = 2.83 (828.6 examples/sec; 0.154 sec/batch)
2016-11-28 18:21:51.907596: step 690, loss = 2.91 (811.6 examples/sec; 0.158 sec/batch)
2016-11-28 18:21:53.462209: step 700, loss = 2.86 (849.7 examples/sec; 0.151 sec/batch)
2016-11-28 18:21:55.238430: step 710, loss = 2.73 (818.6 examples/sec; 0.156 sec/batch)
2016-11-28 18:21:56.794371: step 720, loss = 3.27 (805.8 examples/sec; 0.159 sec/batch)
2016-11-28 18:21:58.392049: step 730, loss = 2.85 (841.8 examples/sec; 0.152 sec/batch)
2016-11-28 18:21:59.994659: step 740, loss = 2.86 (790.3 examples/sec; 0.162 sec/batch)
2016-11-28 18:22:01.595916: step 750, loss = 2.86 (766.3 examples/sec; 0.167 sec/batch)
2016-11-28 18:22:03.204702: step 760, loss = 2.79 (774.5 examples/sec; 0.165 sec/batch)
2016-11-28 18:22:04.825605: step 770, loss = 2.60 (778.2 examples/sec; 0.164 sec/batch)
2016-11-28 18:22:06.438847: step 780, loss = 2.77 (808.3 examples/sec; 0.158 sec/batch)
2016-11-28 18:22:08.064926: step 790, loss = 2.80 (786.1 examples/sec; 0.163 sec/batch)
2016-11-28 18:22:09.687062: step 800, loss = 2.99 (767.1 examples/sec; 0.167 sec/batch)
2016-11-28 18:22:11.519523: step 810, loss = 2.76 (784.4 examples/sec; 0.163 sec/batch)
2016-11-28 18:22:13.139487: step 820, loss = 2.87 (821.5 examples/sec; 0.156 sec/batch)
2016-11-28 18:22:14.769116: step 830, loss = 2.80 (771.1 examples/sec; 0.166 sec/batch)
2016-11-28 18:22:16.403010: step 840, loss = 2.55 (756.4 examples/sec; 0.169 sec/batch)
2016-11-28 18:22:18.029023: step 850, loss = 2.81 (822.0 examples/sec; 0.156 sec/batch)
2016-11-28 18:22:19.653880: step 860, loss = 2.74 (785.5 examples/sec; 0.163 sec/batch)
2016-11-28 18:22:21.276394: step 870, loss = 2.71 (795.9 examples/sec; 0.161 sec/batch)
2016-11-28 18:22:22.895099: step 880, loss = 2.63 (808.6 examples/sec; 0.158 sec/batch)
2016-11-28 18:22:24.524752: step 890, loss = 2.48 (777.1 examples/sec; 0.165 sec/batch)
2016-11-28 18:22:26.131077: step 900, loss = 2.81 (808.7 examples/sec; 0.158 sec/batch)
2016-11-28 18:22:27.960755: step 910, loss = 2.64 (755.3 examples/sec; 0.169 sec/batch)
2016-11-28 18:22:29.580195: step 920, loss = 2.52 (799.3 examples/sec; 0.160 sec/batch)
2016-11-28 18:22:31.198951: step 930, loss = 2.66 (788.0 examples/sec; 0.162 sec/batch)
2016-11-28 18:22:32.809494: step 940, loss = 2.45 (783.4 examples/sec; 0.163 sec/batch)
2016-11-28 18:22:34.426141: step 950, loss = 2.56 (843.0 examples/sec; 0.152 sec/batch)
2016-11-28 18:22:36.053581: step 960, loss = 2.44 (813.2 examples/sec; 0.157 sec/batch)
2016-11-28 18:22:37.669396: step 970, loss = 2.41 (788.0 examples/sec; 0.162 sec/batch)
2016-11-28 18:22:39.292854: step 980, loss = 2.71 (772.3 examples/sec; 0.166 sec/batch)
2016-11-28 18:22:40.907284: step 990, loss = 2.65 (794.9 examples/sec; 0.161 sec/batch)
2016-11-28 18:22:42.536619: step 1000, loss = 2.55 (765.1 examples/sec; 0.167 sec/batch)
2016-11-28 18:22:44.750701: step 1010, loss = 2.45 (820.9 examples/sec; 0.156 sec/batch)
2016-11-28 18:22:46.337982: step 1020, loss = 2.45 (794.9 examples/sec; 0.161 sec/batch)
