time,step,loss,examples/sec,sec/batch
2016-11-29 00:03:00.039430,10,4.60,2146.5,0.060
2016-11-29 00:03:05.024682,20,4.44,2125.4,0.060
2016-11-29 00:03:10.094651,30,4.34,2011.2,0.064
2016-11-29 00:03:15.184014,40,4.30,2108.4,0.061
2016-11-29 00:03:20.057074,50,4.22,2065.0,0.062
2016-11-29 00:03:25.135353,60,4.22,2105.6,0.061
2016-11-29 00:03:30.175953,70,4.10,2093.1,0.061
2016-11-29 00:03:35.173838,80,4.06,2110.9,0.061
2016-11-29 00:03:40.211371,90,4.00,2034.9,0.063
2016-11-29 00:03:45.255882,100,4.10,2332.4,0.055
2016-11-29 00:03:50.797127,110,3.96,1782.3,0.072
2016-11-29 00:03:55.766440,120,4.10,2228.3,0.057
2016-11-29 00:04:00.895633,130,4.15,2018.5,0.063
2016-11-29 00:04:05.976139,140,4.02,2072.0,0.062
2016-11-29 00:04:11.001043,150,3.94,2076.0,0.062
2016-11-29 00:04:16.049019,160,3.84,1995.4,0.064
2016-11-29 00:04:21.078962,170,3.91,1730.8,0.074
2016-11-29 00:04:26.123655,180,4.02,1988.7,0.064
2016-11-29 00:04:31.208697,190,3.72,2025.3,0.063
2016-11-29 00:04:36.306456,200,3.67,2036.1,0.063
2016-11-29 00:04:41.785474,210,3.83,2129.5,0.060
2016-11-29 00:04:46.821025,220,3.54,2028.4,0.063
2016-11-29 00:04:51.910501,230,3.69,2073.0,0.062
2016-11-29 00:04:56.809856,240,3.68,2249.6,0.057
2016-11-29 00:05:01.840835,250,3.92,1967.5,0.065
2016-11-29 00:05:06.896623,260,3.49,1999.3,0.064
2016-11-29 00:05:11.895221,270,3.61,2052.0,0.062
2016-11-29 00:05:16.978711,280,3.54,2069.3,0.062
2016-11-29 00:05:22.124054,290,3.55,2220.2,0.058
2016-11-29 00:05:27.048273,300,3.46,2123.6,0.060
2016-11-29 00:05:32.713342,310,3.45,2233.1,0.057
2016-11-29 00:05:37.772453,320,3.63,2088.5,0.061
2016-11-29 00:05:42.788859,330,3.44,2108.5,0.061
2016-11-29 00:05:47.910265,340,3.46,1908.6,0.067
2016-11-29 00:05:53.200807,350,3.42,1929.7,0.066
2016-11-29 00:05:58.175726,360,3.18,2165.1,0.059
2016-11-29 00:06:03.223138,370,3.31,2072.9,0.062
2016-11-29 00:06:08.451148,380,3.50,2195.3,0.058
2016-11-29 00:06:13.396589,390,3.27,2043.5,0.063
2016-11-29 00:06:18.380108,400,3.30,2060.3,0.062
2016-11-29 00:06:24.020824,410,3.13,1914.6,0.067
2016-11-29 00:06:29.032969,420,3.36,1993.2,0.064
2016-11-29 00:06:34.112876,430,3.28,1992.4,0.064
2016-11-29 00:06:39.248905,440,3.29,1972.6,0.065
2016-11-29 00:06:44.186960,450,3.00,2092.5,0.061
2016-11-29 00:06:49.289817,460,3.09,1956.5,0.065
2016-11-29 00:06:54.397528,470,3.13,2052.7,0.062
2016-11-29 00:06:59.251034,480,3.04,2138.0,0.060
2016-11-29 00:07:04.430893,490,3.00,1877.7,0.068
2016-11-29 00:07:09.423494,500,3.17,2147.6,0.060
2016-11-29 00:07:14.960616,510,3.10,1947.2,0.066
2016-11-29 00:07:20.032546,520,3.03,1963.5,0.065
2016-11-29 00:07:25.198051,530,3.04,2074.6,0.062
2016-11-29 00:07:30.181432,540,2.96,2483.4,0.052
2016-11-29 00:07:35.437248,550,3.06,1929.7,0.066
2016-11-29 00:07:40.443603,560,3.04,2095.0,0.061
2016-11-29 00:07:45.566778,570,2.94,1636.3,0.078
2016-11-29 00:07:50.535636,580,3.10,2139.8,0.060
2016-11-29 00:07:55.598317,590,2.91,2201.3,0.058
2016-11-29 00:08:00.629982,600,2.85,1906.8,0.067
2016-11-29 00:08:06.219333,610,2.94,2065.9,0.062
2016-11-29 00:08:11.316796,620,2.88,1952.6,0.066
2016-11-29 00:08:16.139611,630,3.11,1960.9,0.065
2016-11-29 00:08:21.148072,640,2.88,2122.6,0.060
2016-11-29 00:08:26.286903,650,2.61,2170.6,0.059
2016-11-29 00:08:31.304440,660,3.18,2135.6,0.060
2016-11-29 00:08:36.417397,670,2.85,1904.0,0.067
2016-11-29 00:08:41.520663,680,2.81,2185.9,0.059
2016-11-29 00:08:46.522066,690,2.87,1811.2,0.071
2016-11-29 00:08:51.587819,700,2.75,2013.8,0.064
2016-11-29 00:08:57.181771,710,2.73,2084.2,0.061
2016-11-29 00:09:02.316828,720,2.56,1565.1,0.082
2016-11-29 00:09:07.330908,730,2.90,2034.0,0.063
2016-11-29 00:09:12.473759,740,2.52,2027.8,0.063
2016-11-29 00:09:17.539663,750,2.68,2018.6,0.063
2016-11-29 00:09:22.451468,760,2.51,2142.0,0.060
2016-11-29 00:09:27.574457,770,2.60,2288.7,0.056
2016-11-29 00:09:32.643730,780,2.63,2281.7,0.056
2016-11-29 00:09:37.579685,790,2.53,2146.5,0.060
2016-11-29 00:09:42.742659,800,2.69,1989.4,0.064
2016-11-29 00:09:48.420059,810,2.65,1986.3,0.064
2016-11-29 00:09:53.366362,820,2.50,2103.4,0.061
2016-11-29 00:09:58.526450,830,2.39,2091.3,0.061
2016-11-29 00:10:03.617730,840,2.52,2284.8,0.056
2016-11-29 00:10:08.625434,850,2.46,2031.0,0.063
2016-11-29 00:10:13.691615,860,2.48,2204.7,0.058
2016-11-29 00:10:18.791909,870,2.31,1960.8,0.065
2016-11-29 00:10:23.659461,880,2.41,2090.5,0.061
2016-11-29 00:10:28.693676,890,2.39,2139.4,0.060
2016-11-29 00:10:33.849808,900,2.57,2018.8,0.063
2016-11-29 00:10:39.310625,910,2.37,2042.7,0.063
2016-11-29 00:10:44.343726,920,2.39,2064.3,0.062
2016-11-29 00:10:49.438263,930,2.45,1945.8,0.066
2016-11-29 00:10:54.354769,940,2.42,1867.8,0.069
2016-11-29 00:10:59.473934,950,2.29,2042.9,0.063
2016-11-29 00:11:04.535124,960,2.30,2065.5,0.062
2016-11-29 00:11:09.598384,970,2.16,1964.1,0.065
2016-11-29 00:11:14.541083,980,2.37,2152.6,0.059
2016-11-29 00:11:19.663301,990,2.27,2077.0,0.062
2016-11-29 00:11:24.699772,1000,2.27,2178.7,0.059
2016-11-29 00:11:32.951518,1010,2.32,1559.5,0.082
2016-11-29 00:11:37.896682,1020,2.33,1923.1,0.067
2016-11-29 00:11:43.111848,1030,2.39,1992.6,0.064
2016-11-29 00:11:48.073956,1040,2.53,2130.4,0.060
2016-11-29 00:11:53.165648,1050,2.31,2057.0,0.062
2016-11-29 00:11:58.180193,1060,2.20,2136.4,0.060
2016-11-29 00:12:03.213233,1070,2.31,1928.3,0.066
2016-11-29 00:12:08.356094,1080,2.07,2073.8,0.062
2016-11-29 00:12:13.422174,1090,2.11,2071.3,0.062
2016-11-29 00:12:18.660244,1100,2.16,1523.1,0.084
2016-11-29 00:12:24.146577,1110,2.09,2033.5,0.063
2016-11-29 00:12:29.303683,1120,2.06,2026.3,0.063
2016-11-29 00:12:34.550135,1130,2.09,1920.4,0.067
2016-11-29 00:12:39.525415,1140,2.28,1968.9,0.065
2016-11-29 00:12:44.588072,1150,2.15,2095.8,0.061
2016-11-29 00:12:49.744188,1160,2.10,2046.7,0.063
2016-11-29 00:12:54.787879,1170,2.01,2037.4,0.063
2016-11-29 00:12:59.838743,1180,2.04,2008.1,0.064
2016-11-29 00:13:04.892611,1190,2.21,2061.4,0.062
2016-11-29 00:13:09.927252,1200,2.13,1955.0,0.065
2016-11-29 00:13:15.593934,1210,2.11,2096.9,0.061
2016-11-29 00:13:20.775132,1220,1.94,2084.4,0.061
2016-11-29 00:13:25.858960,1230,1.95,1949.9,0.066
2016-11-29 00:13:30.986771,1240,1.96,1972.3,0.065
2016-11-29 00:13:36.062611,1250,2.14,2111.2,0.061
2016-11-29 00:13:41.355031,1260,1.77,1526.4,0.084
2016-11-29 00:13:46.329323,1270,2.07,2003.5,0.064
2016-11-29 00:13:51.436473,1280,2.06,2125.7,0.060
2016-11-29 00:13:56.442642,1290,1.92,2038.1,0.063
2016-11-29 00:14:01.657994,1300,2.25,2216.9,0.058
2016-11-29 00:14:07.428791,1310,2.11,2003.7,0.064
2016-11-29 00:14:12.427815,1320,1.93,1927.9,0.066
2016-11-29 00:14:17.592284,1330,1.87,1973.7,0.065
2016-11-29 00:14:22.734658,1340,1.99,1911.9,0.067
