time,step,loss,examples/sec,sec/batch
2016-11-29 01:39:10.615370,10,4.57,80.2,1.597
2016-11-29 01:39:26.649399,20,4.50,80.0,1.599
2016-11-29 01:39:42.645101,30,4.43,80.0,1.599
2016-11-29 01:39:58.620897,40,4.54,80.2,1.596
2016-11-29 01:40:14.612304,50,4.29,79.7,1.606
2016-11-29 01:40:30.596732,60,4.29,79.7,1.607
2016-11-29 01:40:46.604636,70,4.25,79.9,1.601
2016-11-29 01:41:02.652959,80,4.24,80.8,1.585
2016-11-29 01:41:18.744620,90,4.10,74.9,1.709
2016-11-29 01:41:34.848698,100,4.02,80.4,1.593
2016-11-29 01:41:52.660335,110,4.06,81.4,1.572
2016-11-29 01:42:08.437921,120,4.03,81.0,1.580
2016-11-29 01:42:24.382258,130,3.91,80.6,1.588
2016-11-29 01:42:40.269162,140,3.96,80.9,1.581
2016-11-29 01:42:56.198060,150,3.83,80.2,1.595
2016-11-29 01:43:12.065875,160,3.84,80.8,1.585
2016-11-29 01:43:27.962361,170,3.68,81.1,1.579
2016-11-29 01:43:43.795045,180,3.78,80.8,1.584
2016-11-29 01:43:59.613132,190,3.83,81.3,1.574
2016-11-29 01:44:15.470937,200,3.78,79.4,1.611
2016-11-29 01:44:33.256975,210,3.76,80.9,1.582
2016-11-29 01:44:49.094914,220,4.18,80.6,1.588
2016-11-29 01:45:05.176810,230,3.66,80.6,1.588
2016-11-29 01:45:21.060782,240,3.68,80.6,1.588
2016-11-29 01:45:36.967574,250,4.12,81.1,1.579
2016-11-29 01:45:52.748490,260,3.55,81.3,1.575
2016-11-29 01:46:08.572673,270,3.76,81.4,1.573
2016-11-29 01:46:24.391744,280,3.55,80.8,1.583
2016-11-29 01:46:40.264438,290,3.51,80.4,1.591
2016-11-29 01:46:56.156838,300,3.67,80.1,1.599
2016-11-29 01:47:13.946319,310,3.48,81.2,1.576
2016-11-29 01:47:29.739127,320,3.50,80.6,1.588
2016-11-29 01:47:45.588572,330,3.43,80.9,1.582
2016-11-29 01:48:01.440151,340,3.59,81.2,1.576
2016-11-29 01:48:17.206619,350,3.58,80.4,1.593
2016-11-29 01:48:32.976782,360,3.48,80.2,1.596
2016-11-29 01:48:48.750218,370,3.34,80.5,1.590
2016-11-29 01:49:04.494341,380,3.39,82.0,1.562
2016-11-29 01:49:20.266476,390,3.30,80.6,1.589
2016-11-29 01:49:36.091446,400,3.37,80.9,1.583
2016-11-29 01:49:53.848122,410,3.55,81.0,1.581
2016-11-29 01:50:09.624877,420,3.23,81.1,1.578
2016-11-29 01:50:25.397152,430,3.37,81.0,1.580
2016-11-29 01:50:41.153758,440,3.23,81.1,1.579
2016-11-29 01:50:56.951970,450,3.31,81.0,1.581
